Health_Camp_ID,False Positive,False Negative,y_counts_test,y_counts_train,test_size,train_size
6578,206,362,362,1486,568,2269
6532,18,6,52,210,399,1594
6543,33,15,158,668,1309,5234
6580,5,3,56,204,704,2813
6570,6,3,63,213,713,2851
6542,22,10,80,282,474,1894
6571,2,5,41,154,418,1668
6527,226,486,522,1955,829,3315
6526,0,1,32,108,762,3047
6539,14,5,48,206,399,1593
6528,95,253,253,990,349,1395
6555,153,100,138,554,348,1390
6541,122,166,169,760,310,1237
6523,116,300,300,1162,417,1667
6538,18,12,132,493,791,3163
6549,30,35,129,428,367,1468
6586,46,23,119,481,525,2099
6554,19,13,71,275,461,1842
6529,358,303,346,1312,765,3058
6540,2,0,33,107,286,1140
6534,205,515,515,2017,720,2877
6535,7,9,52,200,377,1505
6561,5,3,11,44,40,160
6585,9,3,31,172,280,1118
6536,89,126,180,738,408,1629
6562,1,0,16,73,468,1870
6537,4,4,100,381,772,3087
6581,1,1,15,74,297,1188
6524,13,8,9,45,30,119
6587,9,4,5,31,16,63
6557,3,7,7,29,11,41
6546,5,3,4,14,81,322
6569,11,25,25,87,36,141
6564,4,0,10,39,103,411
6575,8,9,9,42,18,72
6552,2,9,12,31,17,65
6558,4,3,3,17,9,35
6530,1,0,11,31,52,207
6560,6,5,9,32,25,98
6531,10,14,14,65,24,96
6544,0,1,2,11,26,102
6565,3,10,10,31,14,52
6553,0,0,3,8,19,75
6563,10,24,24,93,35,136
