Health_Camp_ID,False Positive,False Negative,y_counts_test,y_counts_train,test_size,train_size
6578,66,215,362,1486,568,2269
6532,0,1,52,210,399,1594
6543,4,1,158,668,1309,5234
6580,0,1,56,204,704,2813
6570,2,0,63,213,713,2851
6542,2,1,80,282,474,1894
6571,0,0,41,154,418,1668
6527,80,281,522,1955,829,3315
6526,0,0,32,108,762,3047
6539,2,0,48,206,399,1593
6528,84,218,253,990,349,1395
6555,5,7,138,554,348,1390
6541,38,95,169,760,310,1237
6523,96,246,300,1162,417,1667
6538,0,1,132,493,791,3163
6549,1,3,129,428,367,1468
6586,4,2,119,481,525,2099
6554,1,0,71,275,461,1842
6529,5,9,346,1312,765,3058
6540,0,0,33,107,286,1140
6534,132,399,515,2017,720,2877
6535,0,0,52,200,377,1505
6561,1,0,11,44,40,160
6585,0,1,31,172,280,1118
6536,5,36,180,738,408,1629
6562,0,0,16,73,468,1870
6537,0,0,100,381,772,3087
6581,0,1,15,74,297,1188
6524,2,1,9,45,30,119
6587,0,1,5,31,16,63
6557,3,7,7,29,11,41
6546,0,0,4,14,81,322
6569,1,8,25,87,36,141
6564,1,0,10,39,103,411
6575,1,1,9,42,18,72
6552,1,4,12,31,17,65
6558,0,0,3,17,9,35
6530,1,0,11,31,52,207
6560,0,1,9,32,25,98
6531,8,13,14,65,24,96
6544,0,0,2,11,26,102
6565,1,5,10,31,14,52
6553,0,0,3,8,19,75
6563,8,20,24,93,35,136
