Health_Camp_ID,False Positive,False Negative,Y Count,Test Size
6578,128,313,362,568
6532,1,2,52,399
6543,5,2,158,1309
6580,1,1,56,704
6570,2,0,63,713
6542,5,2,80,474
6571,0,1,41,418
6527,115,380,522,829
6526,0,0,32,762
6539,2,1,48,399
6528,94,249,253,349
6555,12,11,138,348
6541,65,152,169,310
6523,115,298,300,417
6538,0,1,132,791
6549,3,11,129,367
6586,9,2,119,525
6554,3,3,71,461
6529,20,30,346,765
6540,0,0,33,286
6534,178,479,515,720
6535,1,0,52,377
6561,2,1,11,40
6585,0,1,31,280
6536,18,53,180,408
6562,0,0,16,468
6537,0,0,100,772
6581,0,1,15,297
6524,2,1,9,30
6587,0,1,5,16
6557,3,7,7,11
6546,0,0,4,81
6569,11,23,25,36
6564,1,0,10,103
6575,2,1,9,18
6552,1,7,12,17
6558,1,1,3,9
6530,1,0,11,52
6560,0,3,9,25
6531,9,14,14,24
6544,0,0,2,26
6565,1,5,10,14
6553,0,0,3,19
6563,10,23,24,35
