Health_Camp_ID,False Positive,False Negative,y_counts_test,y_counts_train,test_size,train_size
6578,301,551,551,1297,852,1985
6532,89,27,77,185,598,1395
6543,426,140,248,578,1963,4580
6580,42,27,83,177,1056,2461
6570,50,15,92,184,1070,2494
6542,124,65,120,242,711,1657
6571,68,24,65,130,626,1460
6527,489,755,755,1722,1244,2900
6526,8,6,47,93,1143,2666
6539,99,27,73,181,598,1394
6528,143,381,381,862,524,1220
6555,320,202,202,490,522,1216
6541,219,246,246,683,465,1082
6523,173,453,453,1009,626,1458
6538,225,105,192,433,1187,2767
6549,235,159,180,377,551,1284
6586,422,149,174,426,788,1836
6554,129,62,107,239,691,1612
6529,652,495,495,1163,1147,2676
6540,47,17,47,93,428,998
6534,316,764,764,1768,1080,2517
6535,86,34,74,178,565,1317
6561,43,17,17,38,60,140
6585,160,39,51,152,420,978
6536,293,277,279,639,612,1425
6562,0,0,25,64,702,1636
6537,147,52,155,326,1158,2701
6581,27,7,22,67,446,1039
6524,29,16,16,38,45,104
6587,15,9,9,27,24,55
6557,5,11,11,25,16,36
6546,7,6,7,11,121,282
6569,18,36,36,76,54,123
6564,27,9,13,36,155,359
6575,11,16,16,35,27,63
6552,10,15,15,28,25,57
6558,10,4,4,16,14,30
6530,21,14,15,27,78,181
6560,25,12,12,29,37,86
6531,14,22,22,57,36,84
6544,6,1,3,10,39,89
6565,8,12,12,29,20,46
6553,25,4,4,7,29,65
6563,15,37,37,80,52,119
